url,image_url,amount_raised,description,days_running
https://www.gofundme.com/f/help-save-fiona-apple-the-cat,https://d2g8igdw686xgo.cloudfront.net/95518457_1760112055262426_r.png,9085,"Donation protected
My heart is breaking right now. My sweet cat Fiona Apple hasn’t been doing well — she stopped eating, lost a lot of weight really quickly, and has been struggling just to get through the day. I took her to the vet, and they told me there’s a chance she may have cancer.

Right now, we’re still in the process of getting a full diagnosis — she needs more tests and scans as soon as possible so we can figure out what’s really going on and how to treat it. The costs are already over",16
https://www.gofundme.com/f/support-taters-limb-amputation,https://d2g8igdw686xgo.cloudfront.net/95933421_1761324806147635_r.png,2017,"Donation protected
Hi there! Tater Bug is only 7 months old and last Tuesday (Oct 21st) she broke her front leg clean in half by getting spooked while on a lead. We took her to the Vet on Thursday (Oct 23rd) and they informed us that amputation was our best bet. My sweet, beautiful, insane weirdo of a puppy is going to lose a limb next week. We received an estimate for $2,017.46 for the surgery. An amount which we are not going to be able to pay on our own. So I’m asking you, to please help my b",2
https://www.gofundme.com/f/help-us-save-our-remaining-fur-babies,https://d2g8igdw686xgo.cloudfront.net/95764271_1760835415378025_r.png,800,"Donation protected
First of all, thank you & God bless you for even considering clicking this link. As all of you know, this is a hard time for my loved ones and me. I went from having a tribe of fur babies to only 5. IF YOU KNOW ME THEN YOU KNOW I LOVE MY CATS WITH EVERYTHING IN ME. If you've come over to my house and ever felt depressed, who was the first one there happy to console you? My fur babies . If I had the money or opportunity, I would've saved my babies in silence. Unfortunately, it'",8
https://www.gofundme.com/f/help-maria-secure-a-forever-farm-for-rescued-horses,https://d2g8igdw686xgo.cloudfront.net/95628477_1760448149384570_r.png,288000,"Donation protected
Hello. My name is Maria and I have been an animal caretaker and rescuer since I was very young.
I have been running a non profit horse (and sometimes dog and cat) sanctuary on the Osa Peninsula, Costa Rica solo for over the last ten years.

I am currently fundraising to cover monthly costs of hay, feed and farm costs for 15 horses and ponies as our current location does not have enough pasture and we are in rainy season which means zero tourism.

Additionally, I am raising



",12
https://www.gofundme.com/f/donate-in-memory-of-erika-help-shelter-pets,https://d2g8igdw686xgo.cloudfront.net/95960477_1761414537372185_r.jpg,800,"Donation protected
For those who knew her, they knew that Erika’s heart belonged to the animals. She was a dedicated volunteer and fierce advocate for dogs and creatures of all kinds. Her mission was simple: to ensure that every animal in the shelter received the utmost care and affection.

To celebrate her life and continue her compassionate work, we are raising funds for her cherished animal shelter.

Erika’s passion was hands-on: she believed every dog should be treated with dignity and love.",1
https://www.gofundme.com/f/degarbage-ser-davos-seawoofs-gut,https://d2g8igdw686xgo.cloudfront.net/95940949_176134064582879_r.png,3347,"Donation protected
Hello, friends!

This is Ser Davos Seawoof. He's just smart enough to be very, very stupid.

We've been fighting with him over his capability to break into anything food-related for many years, and it's finally caught up with him.

No joke: our kitchen trash is behind a steel baby gate, in a locking trash can with bricks in the bottom, because he's clever and fast and when all else fails, he learned to body-slam the trash can to knock it over. We've finally gotten things set u",2
https://www.gofundme.com/f/support-for-tiger-lilys-medical-expenses,https://d2g8igdw686xgo.cloudfront.net/95854383_1761097743706788_r.png,2000,"Donation protected
Help Us Honor Tiger Lily’s Memory

Hi everyone,
It’s hard to even find the words right now. Our sweet girl Tiger Lily passed away today, and we are completely devastated.

She stopped eating and started getting sick out of nowhere, but we were so hopeful. We were willing to do whatever it took to save her. My sister spent over $2,000 trying to get her the care she needed, and we were prepared to spend even more if it meant giving her a chance. Sadly, before she could even make",5
https://www.gofundme.com/f/donate-for-tomiann-parkers-dogs-liver-tests,https://d2g8igdw686xgo.cloudfront.net/95731293_1760731902438364_r.png,95,"Donation protected
My name is Tomi-Ann Parker, I just adopted a dog in August who had been in terrible shape almost died from respiratory desease Pittie posse came to her rescue now I just found out she has a bad liver trying to raise funds for liver tests to see if she’s ok. Any amount will be greatly appreciated.
React",9
https://www.gofundme.com/f/support-monys-surgery,https://d2g8igdw686xgo.cloudfront.net/95813753_1761001783906145_r.png,3400,"Donation protected
Hello all,

Our little Simone (or “Mony” for short; if you met her, you’d know she’s much more a Mony than a Simone) has been diagnosed with a form of feline cancer. Because of the way it’s wrapped around her leg, the tumor can’t be safely removed. Fortunately, it’s a slow-spreading cancer, and our vets believe that it can be treated by amputating the leg itself.

Unfortunately, though, that procedure is expensive. Between the preliminary work, the necessary tests, and the sur",6
https://www.gofundme.com/f/help-us-to-support-mochas-vital-medical-treatments,https://d2g8igdw686xgo.cloudfront.net/95799251_1760964938265444_r.png,710,"Donation protected
Hello all,
Mocha has not been well recently. On Friday she had two seizures seemingly out of nowhere. I was out of state and she was in MA with her dog dad. Mocha has never had any serious health issues, (other than her cushings disease, which is being/has been treated with medication since she was eight). She was taken to the emergency vet, and put under observation while they ran some tests.
Her blood work returned normal. On Saturday she had a consultation with a neurologis",6
https://www.gofundme.com/f/save-sir-francis-emergency-surgery-needed,https://d2g8igdw686xgo.cloudfront.net/95592095_1760375708939266_r.png,12000,"Donation protected
Help Save Sir Francis’ Life

Anyone who knows me knows how much I love giving back to my communities — whether it’s through my work as an actor, teacher, or advocate for Latino and queer representation. I rarely ask for anything in return, but this time, I need help.

Our sweet Goldendoodle, Sir Francis, suddenly became bloated, and the doctors discovered his stomach had twisted — a life-threatening condition that requires emergency surgery. The estimated cost is around $12,00",13
